date;"regular 
price";"discounted 
price";"number 
of stores";amount;;amount
20.4.2018;0.049;0.049;383;1;;1
10.1.2017;0.094;0.094;429;3;;3
16.5.2017;0.098;0.098;395;4;0;4
27.6.2017;0.088;0.088;426;4;0;4
1.5.2016;0.1;0.1;438;5;0;5
21.9.2017;0.089;0.089;415;7;0;7
23.1.2018;0.098;0.098;401;7;0;7
27.11.2017;0.098;0.098;400;8;0;8
28.7.2017;0.096;0.096;414;9;0;9
16.1.2018;0.103;0.103;399;9;0;9
14.12.2016;0.101;0.101;437;11;;11
13.6.2016;0.098;0.098;445;16;;16
7.5.2018;0.098;0.098;382;16;1;16.1
21.5.2018;0.098;0.098;379;16;11;16.11
19.10.2016;0.099;0.099;442;16;12;16.12
12.10.2017;0.1;0.1;399;16;13;16.13
5.3.2018;0.1;0.1;379;16;14;16.14
14.11.2017;0.1;0.1;405;16;15;16.15
19.12.2017;0.101;0.101;400;16;2;16.2
27.2.2018;0.1;0.1;383;16;3;16.3
7.4.2016;0.099;0.099;445;16;4;16.4
17.1.2018;0.099;0.099;397;16;5;16.5
13.9.2016;0.096;0.096;445;16;6;16.6
28.11.2016;0.1;0.1;440;16;7;16.7
30.3.2016;0.099;0.099;436;16;8;16.8
9.2.2017;0.1;0.1;416;16;9;16.9
19.4.2017;0.099;0.099;407;16;10;17
28.1.2016;0.099;0.099;436;30;0;30
14.11.2016;0.1;0.1;440;30;0;30
18.7.2017;0.101;0.101;413;33;0;33
5.4.2017;0.1;0.1;409;34;0;34
12.11.2016;0.099;0.099;442;36;0;36
10.2.2016;0.1;0.1;436;37;0;37
11.3.2016;0.099;0.099;445;38;0;38
21.4.2016;0.1;0.1;438;38;0;38
30.11.2016;0.099;0.099;441;42;0;42
14.1.2017;0.099;0.099;428;42;0;42
14.2.2017;0.1;0.1;412;42;0;42
12.6.2017;0.099;0.099;428;42;0;42
12.12.2017;0.1;0.1;397;42;0;42
14.5.2018;0.1;0.1;380;42;0;42
29.3.2018;0.1;0.1;388;559;0;559
24.8.2016;0.1;0.1;446;562;0;562
24.7.2016;0.1;0.1;442;565;0;565
20.8.2016;0.1;0.1;450;565;0;565
12.3.2016;0.1;0.1;442;567;0;567
7.7.2016;0.1;0.1;448;567;0;567
27.7.2017;0.1;0.1;417;572;0;572
16.8.2016;0.1;0.1;450;574;0;574
16.4.2016;0.1;0.1;441;576;0;576
24.6.2016;0.1;0.1;444;576;0;576
25.6.2016;0.1;0.1;441;577;0;577
15.7.2017;0.1;0.1;415;580;0;580
14.12.2017;0.1;0.1;400;583;0;583
18.8.2016;0.1;0.1;452;591;0;591
10.9.2016;0.1;0.1;443;605;0;605
9.5.2018;0.1;0.1;382;608;0;608
31.10.2016;0.1;0.1;442;610;0;610
19.5.2018;0.1;0.1;379;617;0;617
1.4.2017;0.1;0.1;408;620;0;620
31.12.2017;0.1;0.1;400;625;0;625
2.7.2016;0.1;0.1;445;632;0;632
19.3.2016;0.1;0.1;448;638;0;638
13.4.2018;0.1;0.1;386;639;0;639
23.7.2016;0.1;0.1;445;644;0;644
30.7.2016;0.1;0.1;447;647;0;647
7.4.2018;0.1;0.1;380;660;0;660
21.5.2016;0.1;0.1;444;661;0;661
31.3.2018;0.1;0.1;392;675;0;675
7.6.2017;0.1;0.1;429;679;0;679
10.8.2016;0.1;0.1;448;690;0;690
9.7.2016;0.1;0.1;447;694;0;694
13.7.2016;0.1;0.1;446;697;0;697
27.12.2017;0.1;0.1;401;698;0;698
29.10.2016;0.1;0.1;440;713;0;713
28.7.2016;0.1;0.1;448;729;0;729
3.6.2017;0.1;0.1;426;730;0;730
30.12.2017;0.1;0.1;398;732;0;732
30.4.2016;0.1;0.1;443;735;0;735
28.4.2018;0.1;0.1;384;751;0;751
2.1.2016;0.1;0.1;439;769;0;769
24.5.2018;0.1;0.1;382;782;0;782
